#OTU ID	A-1	A-2	B-1	B-2	C-1	C-2
ZOTU_158	90	109	0	0	0	0
ZOTU_159	0	0	0	0	73	132
ZOTU_160	0	0	69	59	1	2
ZOTU_161	0	0	0	0	84	162
ZOTU_162	75	68	0	0	0	0
ZOTU_163	76	83	0	0	0	0
ZOTU_164	79	81	0	0	0	0
ZOTU_165	0	0	16	17	57	94
ZOTU_166	76	73	0	0	0	0
ZOTU_167	0	0	7	5	60	110
ZOTU_168	98	98	0	0	0	0
ZOTU_169	0	0	0	1	57	107
ZOTU_170	0	0	58	48	0	1
ZOTU_171	116	45	0	0	0	0
ZOTU_172	89	63	0	0	0	0
ZOTU_173	88	65	0	0	0	0
ZOTU_174	68	66	0	0	0	0
ZOTU_175	0	0	62	54	0	3
ZOTU_176	0	0	73	34	6	13
ZOTU_177	0	0	54	69	1	0
ZOTU_178	64	63	0	1	0	0
ZOTU_179	16	12	51	41	8	14
ZOTU_180	80	58	0	0	0	0
ZOTU_181	0	0	60	39	21	33
ZOTU_182	0	0	111	24	0	2
ZOTU_183	66	63	0	2	0	1
ZOTU_184	89	70	0	0	0	0
ZOTU_185	0	0	71	65	2	3
ZOTU_186	0	0	3	4	51	77
ZOTU_187	53	49	0	0	0	0
ZOTU_188	0	0	93	51	0	0
ZOTU_189	0	0	69	51	0	0
ZOTU_190	0	0	0	0	48	96
ZOTU_191	62	67	0	0	0	0
ZOTU_192	0	0	50	54	12	10
ZOTU_193	114	38	0	0	0	0
ZOTU_194	77	49	0	0	0	0
ZOTU_195	74	73	0	0	0	0
ZOTU_196	89	71	0	1	0	0
ZOTU_197	0	0	2	4	47	92
ZOTU_198	0	0	96	73	0	0
ZOTU_199	51	53	0	0	0	0
ZOTU_200	0	0	84	52	0	0
ZOTU_201	58	41	0	0	0	0
ZOTU_202	0	0	0	0	50	77
ZOTU_203	61	45	0	0	0	0
ZOTU_204	0	0	51	41	0	0
ZOTU_205	56	56	0	0	0	0
ZOTU_206	53	49	0	0	0	0
ZOTU_207	0	0	2	1	43	58
ZOTU_208	62	69	0	0	0	0
ZOTU_209	73	46	0	0	0	0
ZOTU_210	0	0	39	52	0	0
ZOTU_211	0	0	0	0	29	73
ZOTU_212	0	0	0	0	44	57
ZOTU_213	11	9	2	3	34	53
ZOTU_214	0	0	43	39	3	1
ZOTU_215	0	0	42	50	3	6
ZOTU_216	44	44	0	0	0	0
ZOTU_217	0	0	6	0	58	63
ZOTU_218	58	56	0	0	0	0
ZOTU_219	0	0	0	0	43	67
ZOTU_220	0	0	47	48	0	0
ZOTU_221	0	0	54	52	0	1
ZOTU_222	10	4	19	14	42	69
ZOTU_223	50	43	0	0	0	0
ZOTU_224	0	0	43	44	0	0
ZOTU_225	0	0	2	2	36	82
ZOTU_226	0	0	37	33	13	31
ZOTU_227	0	0	62	52	1	3
ZOTU_228	0	0	3	3	37	65
ZOTU_229	0	0	1	3	67	29
ZOTU_230	0	0	47	41	0	0
ZOTU_231	0	0	12	66	0	0
ZOTU_232	51	56	0	0	0	0
ZOTU_233	48	47	0	0	0	0
ZOTU_234	0	0	45	69	0	0
ZOTU_235	59	59	0	0	0	0
ZOTU_236	63	64	0	0	0	0
ZOTU_237	36	39	0	0	0	0
ZOTU_238	0	0	36	30	4	5
ZOTU_239	0	0	53	31	1	2
ZOTU_240	0	0	12	82	0	1
ZOTU_241	0	0	15	66	0	1
ZOTU_242	1	0	37	53	2	6
ZOTU_243	55	33	0	0	0	0
ZOTU_244	50	24	0	0	0	0
ZOTU_245	3	4	41	54	3	0
ZOTU_246	0	0	47	32	0	0
ZOTU_247	53	39	0	0	0	0
ZOTU_248	47	47	0	0	0	0
ZOTU_249	52	49	0	0	0	0
ZOTU_250	45	44	0	0	0	0
ZOTU_251	13	5	27	44	1	3
ZOTU_252	35	58	0	0	0	0
ZOTU_253	0	0	4	3	51	94
ZOTU_254	40	46	0	0	0	1
ZOTU_255	33	37	0	0	0	0
ZOTU_256	59	42	0	0	0	0
ZOTU_257	0	0	50	33	0	0
ZOTU_258	0	0	33	31	0	0
ZOTU_259	0	0	51	32	1	2
ZOTU_260	46	52	0	0	0	0
ZOTU_261	3	4	52	33	1	0
ZOTU_262	55	50	0	0	0	0
ZOTU_263	37	30	0	0	0	0
ZOTU_264	6	6	16	14	11	33
ZOTU_265	0	0	37	32	10	36
ZOTU_266	40	36	0	0	0	0
ZOTU_267	49	37	0	0	0	0
ZOTU_268	45	29	0	0	0	0
ZOTU_269	33	22	0	0	0	0
ZOTU_270	0	0	0	1	37	63
ZOTU_271	56	64	0	0	0	0
ZOTU_272	0	0	4	1	26	70
ZOTU_273	52	26	0	0	0	0
ZOTU_274	33	28	0	0	0	0
ZOTU_275	36	32	0	0	0	0
ZOTU_276	38	37	0	0	0	0
ZOTU_277	0	0	44	32	2	2
ZOTU_278	0	0	36	29	1	9
ZOTU_279	47	36	0	0	1	1
ZOTU_280	30	43	0	0	0	0
ZOTU_281	0	0	16	3	29	40
ZOTU_282	0	0	0	0	25	61
ZOTU_283	33	31	0	0	0	0
ZOTU_284	0	0	32	34	0	0
ZOTU_285	48	20	0	0	0	0
ZOTU_286	0	0	37	28	6	7
ZOTU_287	45	46	0	0	0	0
ZOTU_288	0	0	28	19	5	1
ZOTU_289	38	45	0	0	0	0
ZOTU_290	70	54	0	0	0	0
ZOTU_291	40	33	0	1	0	0
ZOTU_292	41	35	0	0	0	0
ZOTU_293	51	53	0	0	0	0
ZOTU_294	26	29	0	0	0	0
ZOTU_295	44	34	0	0	0	1
ZOTU_296	56	40	0	0	0	0
ZOTU_297	36	28	0	0	0	0
ZOTU_298	0	0	0	1	45	72
ZOTU_299	35	40	0	0	0	0
ZOTU_300	0	0	27	36	0	0
ZOTU_301	44	33	0	0	0	0
ZOTU_302	4	2	28	30	0	0
ZOTU_303	1	0	31	29	20	31
ZOTU_304	0	0	39	20	2	5
ZOTU_305	29	32	0	0	0	0
ZOTU_306	53	32	0	0	0	0
ZOTU_307	27	30	0	0	0	0
ZOTU_308	38	26	0	0	0	0
ZOTU_309	0	0	18	35	7	13
ZOTU_310	38	39	0	0	0	0
ZOTU_311	0	0	24	23	0	1
ZOTU_312	33	28	0	0	0	0
ZOTU_313	39	32	0	0	0	0
ZOTU_314	0	0	0	1	27	68
ZOTU_315	34	25	0	0	0	0
ZOTU_316	0	0	2	0	25	34
ZOTU_317	33	45	0	0	0	0
ZOTU_318	0	0	25	18	0	0
ZOTU_319	1	0	29	15	1	10
ZOTU_320	0	0	4	3	26	35
ZOTU_321	47	30	0	1	0	0
ZOTU_322	34	17	0	0	0	0
ZOTU_323	30	35	0	0	0	0
ZOTU_324	20	39	0	0	0	0
ZOTU_325	30	21	0	0	0	0
ZOTU_326	37	29	0	0	0	0
ZOTU_327	32	28	0	0	0	0
ZOTU_328	0	0	0	0	30	61
ZOTU_329	0	0	37	33	0	0
ZOTU_330	0	0	37	32	6	5
ZOTU_331	43	39	0	0	1	0
ZOTU_332	0	0	31	25	0	0
ZOTU_333	23	28	0	0	0	0
ZOTU_334	0	0	32	33	0	1
ZOTU_335	35	20	0	0	0	0
ZOTU_336	34	50	0	0	0	0
ZOTU_337	29	22	0	0	0	0
ZOTU_338	56	16	0	0	0	0
ZOTU_339	0	0	5	1	20	26
ZOTU_340	1	0	29	34	0	0
ZOTU_341	0	0	60	18	0	0
ZOTU_342	0	0	10	49	0	0
ZOTU_343	24	28	0	0	0	0
ZOTU_344	0	0	4	43	0	0
ZOTU_345	0	0	0	1	22	39
ZOTU_346	0	0	0	0	20	41
ZOTU_347	33	29	0	0	0	0
ZOTU_348	34	43	0	0	0	0
ZOTU_349	0	0	0	0	35	57
ZOTU_350	41	33	0	1	0	0
ZOTU_351	0	0	6	3	25	49
ZOTU_352	0	0	24	19	0	0
ZOTU_353	22	23	0	0	0	0
ZOTU_354	0	0	21	25	0	0
ZOTU_355	0	0	7	4	15	34
ZOTU_356	51	27	3	4	0	0
ZOTU_357	36	24	0	0	0	0
ZOTU_358	40	44	0	0	0	0
ZOTU_359	27	22	0	0	0	0
ZOTU_360	0	0	0	0	25	40
ZOTU_361	27	28	0	0	0	0
ZOTU_362	31	28	2	0	0	0
ZOTU_363	0	0	20	21	0	4
ZOTU_364	0	0	20	19	0	0
ZOTU_365	27	38	0	0	0	0
ZOTU_366	5	6	5	14	6	16
ZOTU_367	19	30	0	0	0	0
ZOTU_368	0	0	1	0	13	33
ZOTU_369	28	30	0	0	0	0
ZOTU_370	26	16	0	0	0	0
ZOTU_371	46	28	1	0	0	2
ZOTU_372	0	0	0	0	25	31
ZOTU_373	0	0	24	19	9	10
ZOTU_374	28	26	0	0	0	0
ZOTU_375	35	30	0	0	0	0
ZOTU_376	29	40	0	0	0	0
ZOTU_377	0	0	33	34	0	1
ZOTU_378	30	27	0	0	0	0
ZOTU_379	36	40	0	0	0	0
ZOTU_380	37	38	0	0	0	0
ZOTU_381	19	27	0	0	0	1
ZOTU_382	49	41	0	0	0	0
ZOTU_383	37	16	0	0	0	0
ZOTU_384	0	1	0	0	21	30
ZOTU_385	3	0	23	23	0	0
ZOTU_386	0	0	35	14	0	0
ZOTU_387	1	1	0	0	13	30
ZOTU_388	0	0	26	11	0	0
ZOTU_389	30	21	4	4	0	4
ZOTU_390	39	26	0	0	0	0
ZOTU_391	28	25	0	0	0	0
ZOTU_392	15	20	0	0	0	0
ZOTU_393	0	0	18	18	0	3
ZOTU_394	26	26	0	0	0	0
ZOTU_395	0	0	19	18	1	0
ZOTU_396	0	0	49	73	0	0
ZOTU_397	40	9	0	0	0	0
ZOTU_398	23	17	0	0	0	0
ZOTU_399	19	18	0	0	0	0
ZOTU_400	33	26	0	0	0	0
ZOTU_401	23	18	0	0	0	0
ZOTU_402	0	0	21	49	0	0
ZOTU_403	30	25	0	0	0	0
ZOTU_404	0	0	17	16	5	21
ZOTU_405	0	0	6	32	4	5
ZOTU_406	23	18	0	0	0	0
ZOTU_407	0	0	24	33	0	0
ZOTU_408	0	1	23	21	7	10
ZOTU_409	0	0	0	0	10	55
ZOTU_410	0	0	19	14	0	2
ZOTU_411	0	0	33	28	0	0
ZOTU_412	24	38	0	0	0	0
ZOTU_413	21	18	0	0	0	0
ZOTU_414	0	0	10	20	0	0
ZOTU_415	0	0	8	8	20	42
ZOTU_416	0	0	47	45	0	0
ZOTU_417	0	0	22	16	7	17
ZOTU_418	0	0	22	23	0	0
ZOTU_419	0	0	16	13	0	0
ZOTU_420	0	0	18	29	0	0
ZOTU_421	1	2	17	17	5	8
ZOTU_422	0	0	21	12	0	0
ZOTU_423	0	0	13	11	11	10
ZOTU_424	29	23	0	0	0	0
ZOTU_425	21	20	0	0	0	0
ZOTU_426	0	0	30	16	0	0
ZOTU_427	18	12	0	0	0	0
ZOTU_428	51	33	0	0	0	0
ZOTU_429	0	0	22	14	0	0
ZOTU_430	21	19	0	0	0	0
ZOTU_431	21	18	0	0	0	0
ZOTU_432	0	0	21	28	0	0
ZOTU_433	29	16	0	0	0	0
ZOTU_434	23	2	0	0	0	0
ZOTU_435	0	0	48	43	0	0
ZOTU_436	22	20	0	0	0	0
ZOTU_437	0	0	9	3	20	38
ZOTU_438	20	21	0	0	0	0
ZOTU_439	0	0	16	10	30	47
ZOTU_440	26	11	0	0	0	0
ZOTU_441	0	0	13	11	15	27
ZOTU_442	31	17	0	0	0	0
ZOTU_443	23	35	0	0	0	0
ZOTU_444	41	39	0	0	0	0
ZOTU_445	21	22	0	0	0	0
ZOTU_446	0	0	1	1	31	26
ZOTU_447	0	1	0	0	2	43
ZOTU_448	0	0	16	18	0	0
ZOTU_449	25	18	0	0	0	0
ZOTU_450	30	21	0	0	0	0
ZOTU_451	0	0	1	1	27	24
ZOTU_452	17	18	0	0	0	0
ZOTU_453	19	35	0	0	0	0
ZOTU_454	0	0	19	19	0	2
ZOTU_455	0	0	28	26	0	2
ZOTU_456	18	15	0	0	0	0
ZOTU_457	36	38	0	0	0	0
ZOTU_458	26	27	0	0	0	0
ZOTU_459	19	18	0	0	0	0
ZOTU_460	28	13	0	0	0	0
ZOTU_461	1	1	52	39	1	1
ZOTU_462	23	21	0	0	0	0
ZOTU_463	26	27	0	0	0	0
ZOTU_464	24	17	2	1	0	1
ZOTU_465	26	18	0	0	0	0
ZOTU_466	23	20	0	0	0	0
ZOTU_467	0	0	23	16	1	0
ZOTU_468	0	0	1	32	0	0
ZOTU_469	0	0	19	9	0	0
ZOTU_470	17	22	0	0	0	0
ZOTU_471	26	30	0	0	0	0
ZOTU_472	20	15	0	0	0	0
ZOTU_473	17	10	0	0	0	0
ZOTU_474	0	0	4	27	3	6
ZOTU_475	21	30	0	0	0	0
ZOTU_476	24	24	0	0	0	0
ZOTU_477	0	0	5	26	0	0
ZOTU_478	0	0	34	28	1	1
ZOTU_479	10	0	12	9	1	2
ZOTU_480	21	24	0	0	0	0
ZOTU_481	44	29	0	1	0	1
ZOTU_482	0	0	1	0	16	28
ZOTU_483	21	21	0	0	0	0
ZOTU_484	14	9	0	0	0	0
ZOTU_485	16	11	0	0	0	0
ZOTU_486	0	0	13	8	2	5
ZOTU_487	18	10	0	0	0	0
ZOTU_488	30	22	0	0	0	0
ZOTU_489	0	0	17	13	0	0
ZOTU_490	2	4	13	13	0	0
ZOTU_491	14	18	0	1	0	0
ZOTU_492	0	0	9	12	0	0
ZOTU_493	0	0	2	5	8	24
ZOTU_494	25	9	0	0	0	0
ZOTU_495	3	2	10	8	9	14
ZOTU_496	0	0	21	20	0	0
ZOTU_497	29	35	0	0	0	0
ZOTU_498	25	27	0	0	0	0
ZOTU_499	16	14	0	0	0	0
ZOTU_500	0	0	16	20	0	1
ZOTU_501	22	20	0	0	0	0
ZOTU_502	35	33	0	0	0	0
ZOTU_503	20	9	0	0	0	0
ZOTU_504	16	16	0	0	0	0
ZOTU_505	20	12	0	0	0	0
ZOTU_506	15	7	0	0	0	0
ZOTU_507	0	0	7	0	28	48
ZOTU_508	17	16	0	0	0	0
ZOTU_509	21	18	0	0	0	0
ZOTU_510	18	23	0	0	0	0
ZOTU_511	10	15	0	0	0	0
ZOTU_512	18	7	0	0	0	0
ZOTU_513	3	15	0	0	0	0
ZOTU_514	0	0	19	16	0	0
ZOTU_515	14	12	3	5	2	5
ZOTU_516	18	10	0	0	0	0
ZOTU_517	0	0	21	10	0	0
ZOTU_518	8	16	0	0	0	0
ZOTU_519	14	14	0	0	0	0
ZOTU_520	10	14	0	0	0	0
ZOTU_521	0	0	20	9	0	0
ZOTU_522	25	19	0	0	0	0
ZOTU_523	19	22	0	0	0	0
ZOTU_524	23	4	0	0	0	0
ZOTU_525	17	9	0	0	0	0
ZOTU_526	0	0	15	15	0	0
ZOTU_527	16	13	0	0	0	0
ZOTU_528	15	12	0	0	0	0
ZOTU_529	17	17	0	1	0	1
ZOTU_530	15	13	0	0	0	0
ZOTU_531	25	26	0	0	0	0
ZOTU_532	32	28	0	0	0	0
ZOTU_533	45	32	0	0	0	0
ZOTU_534	0	0	15	17	0	2
ZOTU_535	41	30	0	0	0	0
ZOTU_536	0	0	0	0	13	13
ZOTU_537	38	44	1	0	0	0
ZOTU_538	15	11	9	2	1	4
ZOTU_539	38	34	0	0	0	0
ZOTU_540	38	37	0	0	0	0
ZOTU_541	47	26	0	0	0	0
ZOTU_542	15	11	0	0	0	0
ZOTU_543	15	23	0	0	0	0
ZOTU_544	0	0	0	0	7	13
ZOTU_545	26	23	0	0	0	0
ZOTU_546	0	0	29	11	0	0
ZOTU_547	22	14	0	0	0	1
ZOTU_548	0	0	14	7	0	0
ZOTU_549	16	35	0	0	0	0
ZOTU_550	24	11	0	0	0	0
ZOTU_551	0	0	20	5	2	0
ZOTU_552	7	18	0	0	0	0
ZOTU_553	0	0	10	10	0	0
