A1_92	HISEQ:483:HLJ2LBCXY:1:2103:7577:61291
A1_93	HISEQ:483:HLJ2LBCXY:1:2101:16078:29121
A1_94	HISEQ:483:HLJ2LBCXY:1:2204:10393:55334
A1_95	HISEQ:483:HLJ2LBCXY:1:2103:14633:50611
A1_96	HISEQ:483:HLJ2LBCXY:1:1101:8342:25141
A1_97	HISEQ:483:HLJ2LBCXY:1:2110:15390:22672
A1_98	HISEQ:483:HLJ2LBCXY:1:2207:3914:84706
A1_99	HISEQ:483:HLJ2LBCXY:1:1107:14043:4631
A1_100	HISEQ:483:HLJ2LBCXY:1:1211:20067:53158
A1_101	HISEQ:483:HLJ2LBCXY:1:2206:4493:32413
A1_102	HISEQ:483:HLJ2LBCXY:1:1104:4443:33374
A1_103	HISEQ:483:HLJ2LBCXY:1:1210:20383:30707
A1_104	HISEQ:483:HLJ2LBCXY:1:1208:21097:85150
A1_105	HISEQ:483:HLJ2LBCXY:1:1206:6696:29847
A1_106	HISEQ:483:HLJ2LBCXY:1:1105:14863:40862
A1_107	HISEQ:483:HLJ2LBCXY:1:1213:4410:13775
A1_108	HISEQ:483:HLJ2LBCXY:1:1208:15160:92684
A1_109	HISEQ:483:HLJ2LBCXY:1:1212:4617:3632
A1_110	HISEQ:483:HLJ2LBCXY:1:2216:3423:54731
A1_111	HISEQ:483:HLJ2LBCXY:1:1208:13305:41306
A1_112	HISEQ:483:HLJ2LBCXY:1:1108:4954:34984
A1_113	HISEQ:483:HLJ2LBCXY:1:1216:10386:93055
A1_114	HISEQ:483:HLJ2LBCXY:1:1110:11749:34084
A1_115	HISEQ:483:HLJ2LBCXY:1:1108:5582:50492
A1_116	HISEQ:483:HLJ2LBCXY:1:1116:1623:65826
A1_117	HISEQ:483:HLJ2LBCXY:1:2101:13535:67002
A1_118	HISEQ:483:HLJ2LBCXY:1:2111:5872:30406
A1_119	HISEQ:483:HLJ2LBCXY:1:2201:10355:47448
A1_120	HISEQ:483:HLJ2LBCXY:1:1111:7376:40090
A1_121	HISEQ:483:HLJ2LBCXY:1:2107:19117:14348
A1_122	HISEQ:483:HLJ2LBCXY:1:1111:12246:53013
A1_123	HISEQ:483:HLJ2LBCXY:1:1110:17892:80434
A1_124	HISEQ:483:HLJ2LBCXY:1:1206:7340:17022
A1_125	HISEQ:483:HLJ2LBCXY:1:1208:5786:46389
A1_126	HISEQ:483:HLJ2LBCXY:1:2208:8687:100819
A1_127	HISEQ:483:HLJ2LBCXY:1:1112:20199:11423
A1_128	HISEQ:483:HLJ2LBCXY:1:2114:11830:8184
A1_129	HISEQ:483:HLJ2LBCXY:1:1110:18349:63147
A1_130	HISEQ:483:HLJ2LBCXY:1:1103:2715:81116
A1_131	HISEQ:483:HLJ2LBCXY:1:1201:12878:5612
A1_132	HISEQ:483:HLJ2LBCXY:1:2209:15420:37736
A1_133	HISEQ:483:HLJ2LBCXY:1:2215:16529:12126
A1_134	HISEQ:483:HLJ2LBCXY:1:2115:14963:51989
A1_135	HISEQ:483:HLJ2LBCXY:1:1209:11642:6773
A1_136	HISEQ:483:HLJ2LBCXY:1:1202:11109:45521
A1_137	HISEQ:483:HLJ2LBCXY:1:1208:3350:32777
A1_138	HISEQ:483:HLJ2LBCXY:1:1206:20996:37338
A1_139	HISEQ:483:HLJ2LBCXY:1:2204:10354:3740
A1_140	HISEQ:483:HLJ2LBCXY:1:1105:18158:58389
A1_141	HISEQ:483:HLJ2LBCXY:1:2103:14026:47373
A1_142	HISEQ:483:HLJ2LBCXY:1:2112:15161:58464
A1_143	HISEQ:483:HLJ2LBCXY:1:1115:1590:74738
A1_144	HISEQ:483:HLJ2LBCXY:1:1209:18219:56027
A1_145	HISEQ:483:HLJ2LBCXY:1:1204:14198:75343
A1_146	HISEQ:483:HLJ2LBCXY:1:2104:21070:22769
A1_147	HISEQ:483:HLJ2LBCXY:1:2211:1650:87493
A1_148	HISEQ:483:HLJ2LBCXY:1:2207:4098:84922
A1_149	HISEQ:483:HLJ2LBCXY:1:2208:14769:73286
A1_150	HISEQ:483:HLJ2LBCXY:1:1115:15064:4949
A1_151	HISEQ:483:HLJ2LBCXY:1:2207:17223:77226
A1_152	HISEQ:483:HLJ2LBCXY:1:2108:14161:85525
A1_153	HISEQ:483:HLJ2LBCXY:1:2109:13992:58883
A1_154	HISEQ:483:HLJ2LBCXY:1:2102:15865:59841
A1_155	HISEQ:483:HLJ2LBCXY:1:1107:10306:61398
A1_156	HISEQ:483:HLJ2LBCXY:1:1103:4039:96587
A1_157	HISEQ:483:HLJ2LBCXY:1:1206:10611:72396
A1_158	HISEQ:483:HLJ2LBCXY:1:2212:10100:15954
A1_159	HISEQ:483:HLJ2LBCXY:1:1113:15828:12566
A1_160	HISEQ:483:HLJ2LBCXY:1:1111:17803:62370
A1_161	HISEQ:483:HLJ2LBCXY:1:2201:10628:73575
A1_162	HISEQ:483:HLJ2LBCXY:1:1208:16053:83715
A1_163	HISEQ:483:HLJ2LBCXY:1:1216:20844:69429
A1_164	HISEQ:483:HLJ2LBCXY:1:1210:5142:17326
A1_165	HISEQ:483:HLJ2LBCXY:1:2214:14851:32375
A1_166	HISEQ:483:HLJ2LBCXY:1:2212:7049:24125
A1_167	HISEQ:483:HLJ2LBCXY:1:2210:5201:93713
A1_168	HISEQ:483:HLJ2LBCXY:1:1114:11413:58672
A1_169	HISEQ:483:HLJ2LBCXY:1:2202:18120:78028
A1_170	HISEQ:483:HLJ2LBCXY:1:1202:12322:66604
A1_171	HISEQ:483:HLJ2LBCXY:1:2205:13349:100565
A1_172	HISEQ:483:HLJ2LBCXY:1:2215:9007:57953
A1_173	HISEQ:483:HLJ2LBCXY:1:1206:14955:59370
A1_174	HISEQ:483:HLJ2LBCXY:1:2104:19735:13680
A1_175	HISEQ:483:HLJ2LBCXY:1:2210:3859:98146
A1_176	HISEQ:483:HLJ2LBCXY:1:1201:16683:32882
A1_177	HISEQ:483:HLJ2LBCXY:1:2102:3091:49989
A1_178	HISEQ:483:HLJ2LBCXY:1:1108:4957:41618
A1_179	HISEQ:483:HLJ2LBCXY:1:2216:5493:58127
A1_180	HISEQ:483:HLJ2LBCXY:1:2105:19739:61012
A1_181	HISEQ:483:HLJ2LBCXY:1:2110:7827:87547
A1_182	HISEQ:483:HLJ2LBCXY:1:1215:5858:29463
A1_183	HISEQ:483:HLJ2LBCXY:1:2107:12134:31938
A1_184	HISEQ:483:HLJ2LBCXY:1:1203:12695:35240
A1_185	HISEQ:483:HLJ2LBCXY:1:2208:20403:52517
A1_186	HISEQ:483:HLJ2LBCXY:1:1205:12465:83857
A1_187	HISEQ:483:HLJ2LBCXY:1:2101:13752:80971
A1_188	HISEQ:483:HLJ2LBCXY:1:2206:2856:21008
A1_189	HISEQ:483:HLJ2LBCXY:1:2110:12100:76863
A1_190	HISEQ:483:HLJ2LBCXY:1:2108:11572:30836
A1_191	HISEQ:483:HLJ2LBCXY:1:2102:14024:40466
A1_192	HISEQ:483:HLJ2LBCXY:1:2213:10290:76110
A1_193	HISEQ:483:HLJ2LBCXY:1:1205:4640:98219
A1_194	HISEQ:483:HLJ2LBCXY:1:2108:9558:63836
A1_195	HISEQ:483:HLJ2LBCXY:1:2210:14078:39189
A1_196	HISEQ:483:HLJ2LBCXY:1:1110:5575:84455
A1_197	HISEQ:483:HLJ2LBCXY:1:1206:12561:36715
A1_198	HISEQ:483:HLJ2LBCXY:1:2106:5938:15521
