#OTU ID	B-2
ZOTU_352	19
ZOTU_478	28
ZOTU_238	30
ZOTU_418	23
ZOTU_95	43
ZOTU_165	17
ZOTU_5	8
ZOTU_221	52
ZOTU_669	10
ZOTU_345	1
ZOTU_415	8
ZOTU_257	33
ZOTU_421	17
ZOTU_496	20
ZOTU_468	32
ZOTU_534	17
ZOTU_284	34
ZOTU_408	21
ZOTU_179	41
ZOTU_474	27
ZOTU_329	33
ZOTU_490	13
ZOTU_265	32
ZOTU_622	8
ZOTU_385	23
ZOTU_653	12
ZOTU_657	7
ZOTU_575	12
ZOTU_659	10
ZOTU_489	13
ZOTU_393	18
ZOTU_277	32
ZOTU_663	13
ZOTU_652	5
ZOTU_309	35
ZOTU_579	12
ZOTU_278	29
ZOTU_330	32
ZOTU_477	26
ZOTU_548	7
ZOTU_517	10
ZOTU_645	7
ZOTU_407	33
ZOTU_493	5
ZOTU_377	34
ZOTU_651	10
ZOTU_432	28
ZOTU_419	13
ZOTU_557	13
ZOTU_479	9
ZOTU_422	12
ZOTU_388	11
ZOTU_186	4
ZOTU_577	15
ZOTU_633	9
ZOTU_629	8
ZOTU_395	18
ZOTU_631	11
ZOTU_414	20
ZOTU_553	10
ZOTU_76	8
ZOTU_429	14
ZOTU_467	16
ZOTU_386	14
ZOTU_222	14
ZOTU_551	5
ZOTU_261	33
ZOTU_264	14
ZOTU_410	14
ZOTU_373	19
ZOTU_538	2
ZOTU_446	1
ZOTU_389	4
ZOTU_225	2
ZOTU_321	1
ZOTU_229	3
ZOTU_272	1
ZOTU_495	8
ZOTU_167	5
ZOTU_515	5
ZOTU_332	25
ZOTU_341	18
ZOTU_439	10
ZOTU_350	1
ZOTU_46	6
ZOTU_351	3
ZOTU_600	4
ZOTU_72	1
ZOTU_291	1
ZOTU_149	1
ZOTU_197	4
ZOTU_89	1
ZOTU_213	3
ZOTU_183	2
ZOTU_609	1
ZOTU_91	2
ZOTU_48	1
ZOTU_671	3
ZOTU_61	5
ZOTU_253	3
ZOTU_464	1
ZOTU_50	1
ZOTU_68	4
ZOTU_486	8
ZOTU_584	3
ZOTU_451	1
ZOTU_638	1
ZOTU_314	1
ZOTU_491	1
ZOTU_564	1
ZOTU_529	1
ZOTU_320	3
ZOTU_666	1
ZOTU_178	1
ZOTU_39	1
ZOTU_339	1
ZOTU_148	2
ZOTU_270	1
ZOTU_228	3
ZOTU_616	1
ZOTU_196	1
ZOTU_155	1
ZOTU_207	1
ZOTU_640	3
ZOTU_583	1
ZOTU_626	1
ZOTU_298	1
ZOTU_281	3
ZOTU_356	4
ZOTU_481	1
ZOTU_675	1
ZOTU_169	1
ZOTU_598	1
