#OTU ID	B-2
ZOTU_62	190
ZOTU_154	136
ZOTU_15	421
ZOTU_258	31
ZOTU_75	150
ZOTU_37	324
ZOTU_67	228
ZOTU_41	234
ZOTU_54	181
ZOTU_122	100
ZOTU_83	202
ZOTU_8	1231
ZOTU_405	32
ZOTU_230	41
ZOTU_224	44
ZOTU_78	61
ZOTU_40	305
ZOTU_344	43
ZOTU_676	15
ZOTU_1	278
ZOTU_9	1022
ZOTU_175	54
ZOTU_22	73
ZOTU_55	257
ZOTU_97	316
ZOTU_121	105
ZOTU_182	24
ZOTU_64	200
ZOTU_189	51
ZOTU_25	425
ZOTU_215	50
ZOTU_2	1583
ZOTU_127	103
ZOTU_63	191
ZOTU_11	995
ZOTU_44	280
ZOTU_151	108
ZOTU_240	82
ZOTU_245	54
ZOTU_30	232
ZOTU_304	20
ZOTU_521	9
ZOTU_514	16
ZOTU_526	15
ZOTU_108	118
ZOTU_157	63
ZOTU_65	180
ZOTU_334	33
ZOTU_185	65
ZOTU_192	54
ZOTU_181	39
ZOTU_200	52
ZOTU_288	19
ZOTU_302	30
ZOTU_70	14
ZOTU_152	66
ZOTU_177	69
ZOTU_104	107
ZOTU_102	97
ZOTU_411	28
ZOTU_340	34
ZOTU_426	16
ZOTU_234	69
ZOTU_231	66
ZOTU_4	50
ZOTU_86	139
ZOTU_105	35
ZOTU_36	317
ZOTU_77	75
ZOTU_27	154
ZOTU_592	16
ZOTU_300	36
ZOTU_402	49
ZOTU_110	110
ZOTU_461	39
ZOTU_239	31
ZOTU_107	137
ZOTU_98	7
ZOTU_160	59
ZOTU_188	51
ZOTU_242	53
ZOTU_311	23
ZOTU_32	272
ZOTU_396	73
ZOTU_153	47
ZOTU_14	132
ZOTU_673	11
ZOTU_641	8
ZOTU_81	174
ZOTU_441	11
ZOTU_144	66
ZOTU_94	134
ZOTU_133	22
ZOTU_87	55
ZOTU_170	48
ZOTU_417	16
ZOTU_56	171
ZOTU_137	62
ZOTU_115	126
ZOTU_455	26
ZOTU_140	75
ZOTU_363	21
ZOTU_31	8
ZOTU_594	6
ZOTU_404	16
ZOTU_582	3
ZOTU_220	48
ZOTU_227	52
ZOTU_423	11
ZOTU_241	66
ZOTU_435	43
ZOTU_198	73
ZOTU_176	34
ZOTU_618	24
ZOTU_354	25
ZOTU_101	34
ZOTU_581	9
ZOTU_420	29
ZOTU_117	83
ZOTU_563	14
ZOTU_93	108
ZOTU_114	9
ZOTU_355	4
ZOTU_303	29
ZOTU_562	13
ZOTU_259	32
ZOTU_500	20
ZOTU_7	41
ZOTU_492	12
ZOTU_251	44
ZOTU_546	11
ZOTU_623	18
ZOTU_130	93
ZOTU_437	3
ZOTU_624	23
ZOTU_416	45
ZOTU_226	33
ZOTU_3	159
ZOTU_566	9
ZOTU_6	16
ZOTU_18	25
ZOTU_214	39
ZOTU_204	41
ZOTU_342	49
ZOTU_454	19
ZOTU_364	19
ZOTU_286	28
ZOTU_318	18
ZOTU_210	52
ZOTU_319	15
ZOTU_680	11
ZOTU_246	32
ZOTU_448	18
ZOTU_469	9
ZOTU_126	99
ZOTU_662	8
ZOTU_366	14
