#OTU ID	A-2
ZOTU_376	40
ZOTU_456	15
ZOTU_163	83
ZOTU_134	91
ZOTU_296	40
ZOTU_136	90
ZOTU_497	35
ZOTU_412	38
ZOTU_236	64
ZOTU_580	14
ZOTU_128	116
ZOTU_457	38
ZOTU_120	82
ZOTU_147	84
ZOTU_503	9
ZOTU_498	27
ZOTU_488	22
ZOTU_139	115
ZOTU_205	56
ZOTU_171	45
ZOTU_348	43
ZOTU_627	10
ZOTU_635	14
ZOTU_381	27
ZOTU_331	39
ZOTU_480	24
ZOTU_549	35
ZOTU_379	40
ZOTU_664	9
ZOTU_449	18
ZOTU_180	58
ZOTU_293	53
ZOTU_174	66
ZOTU_184	70
ZOTU_481	29
ZOTU_499	14
ZOTU_146	58
ZOTU_150	68
ZOTU_465	18
ZOTU_301	33
ZOTU_613	4
ZOTU_271	64
ZOTU_294	29
ZOTU_142	77
ZOTU_99	157
ZOTU_290	54
ZOTU_452	18
ZOTU_162	68
ZOTU_540	37
ZOTU_390	26
ZOTU_299	40
ZOTU_391	25
ZOTU_195	73
ZOTU_466	20
ZOTU_463	27
ZOTU_487	10
ZOTU_604	12
ZOTU_295	34
ZOTU_289	45
ZOTU_279	36
ZOTU_483	21
ZOTU_494	9
ZOTU_125	83
ZOTU_323	35
ZOTU_103	133
ZOTU_506	7
ZOTU_362	28
ZOTU_476	24
ZOTU_550	11
ZOTU_213	9
ZOTU_644	16
ZOTU_187	49
ZOTU_194	49
ZOTU_471	30
ZOTU_132	86
ZOTU_539	34
ZOTU_535	30
ZOTU_527	13
ZOTU_532	28
ZOTU_661	21
ZOTU_570	13
ZOTU_628	13
ZOTU_235	59
ZOTU_547	14
ZOTU_401	18
ZOTU_504	16
ZOTU_398	17
ZOTU_164	81
ZOTU_138	86
ZOTU_263	30
ZOTU_543	23
ZOTU_389	21
ZOTU_118	109
ZOTU_508	16
ZOTU_266	36
ZOTU_509	18
ZOTU_475	30
ZOTU_665	8
ZOTU_677	21
ZOTU_201	41
ZOTU_369	30
ZOTU_462	21
ZOTU_237	39
ZOTU_365	38
ZOTU_559	52
ZOTU_113	98
ZOTU_537	44
ZOTU_516	10
ZOTU_620	13
ZOTU_252	58
ZOTU_413	18
ZOTU_510	23
ZOTU_399	18
ZOTU_326	29
ZOTU_522	19
ZOTU_247	39
ZOTU_501	20
ZOTU_335	20
ZOTU_491	18
ZOTU_268	29
ZOTU_596	9
ZOTU_433	16
ZOTU_552	18
ZOTU_244	24
ZOTU_531	26
ZOTU_438	21
ZOTU_459	18
ZOTU_428	33
ZOTU_248	47
ZOTU_600	1
ZOTU_273	26
ZOTU_442	17
ZOTU_308	26
ZOTU_333	28
ZOTU_554	23
ZOTU_673	5
ZOTU_614	18
ZOTU_254	46
ZOTU_307	30
ZOTU_245	4
ZOTU_193	38
ZOTU_172	63
ZOTU_275	32
ZOTU_528	12
ZOTU_287	46
ZOTU_313	32
ZOTU_400	26
ZOTU_518	16
ZOTU_519	14
ZOTU_358	44
ZOTU_619	26
ZOTU_431	18
ZOTU_337	22
ZOTU_274	28
ZOTU_322	17
ZOTU_530	13
ZOTU_350	33
ZOTU_637	29
ZOTU_473	10
ZOTU_569	21
ZOTU_674	21
ZOTU_567	27
ZOTU_347	29
ZOTU_384	1
ZOTU_306	32
ZOTU_443	35
ZOTU_255	37
ZOTU_30	4
ZOTU_561	6
ZOTU_406	18
ZOTU_568	8
ZOTU_646	27
ZOTU_327	28
ZOTU_216	44
ZOTU_305	32
ZOTU_545	23
ZOTU_302	2
ZOTU_464	17
ZOTU_264	6
ZOTU_681	15
ZOTU_505	12
ZOTU_315	25
ZOTU_285	20
ZOTU_325	21
ZOTU_370	16
ZOTU_357	24
ZOTU_541	26
ZOTU_321	30
ZOTU_572	7
ZOTU_129	7
ZOTU_371	28
ZOTU_256	42
ZOTU_683	11
ZOTU_617	17
ZOTU_601	8
ZOTU_359	22
ZOTU_573	19
ZOTU_595	10
ZOTU_450	21
ZOTU_625	13
ZOTU_679	18
ZOTU_380	38
ZOTU_606	21
ZOTU_634	15
ZOTU_512	7
ZOTU_353	23
ZOTU_67	4
ZOTU_587	23
ZOTU_436	20
ZOTU_366	6
ZOTU_243	33
ZOTU_590	6
ZOTU_470	22
ZOTU_336	50
ZOTU_223	43
ZOTU_460	13
ZOTU_638	9
ZOTU_678	9
ZOTU_251	5
ZOTU_515	12
ZOTU_639	17
ZOTU_672	7
ZOTU_440	11
ZOTU_574	9
ZOTU_611	12
ZOTU_642	5
ZOTU_560	29
ZOTU_660	10
ZOTU_578	15
ZOTU_636	14
ZOTU_576	14
ZOTU_615	15
ZOTU_485	11
ZOTU_524	4
ZOTU_513	15
ZOTU_593	15
ZOTU_656	5
ZOTU_490	4
ZOTU_408	1
ZOTU_632	8
ZOTU_666	12
ZOTU_6	2
ZOTU_78	2
ZOTU_179	12
ZOTU_603	9
ZOTU_269	22
ZOTU_538	11
ZOTU_649	7
ZOTU_648	7
ZOTU_591	5
ZOTU_261	4
ZOTU_397	9
ZOTU_338	16
ZOTU_586	14
ZOTU_529	17
ZOTU_434	2
ZOTU_583	2
ZOTU_36	2
ZOTU_447	1
ZOTU_495	2
ZOTU_151	1
ZOTU_556	6
ZOTU_153	1
ZOTU_461	1
ZOTU_421	2
ZOTU_14	1
ZOTU_387	1
