#OTU ID	A-2
ZOTU_58	231
ZOTU_425	20
ZOTU_74	204
ZOTU_26	409
ZOTU_29	356
ZOTU_82	183
ZOTU_21	549
ZOTU_19	632
ZOTU_525	9
ZOTU_33	376
ZOTU_292	35
ZOTU_106	141
ZOTU_199	53
ZOTU_16	867
ZOTU_24	547
ZOTU_52	279
ZOTU_555	34
ZOTU_42	370
ZOTU_232	56
ZOTU_88	176
ZOTU_20	645
ZOTU_445	22
ZOTU_502	33
ZOTU_484	9
ZOTU_250	44
ZOTU_84	173
ZOTU_375	30
ZOTU_135	99
ZOTU_203	45
ZOTU_196	71
ZOTU_260	52
ZOTU_34	396
ZOTU_2	447
ZOTU_249	49
ZOTU_208	69
ZOTU_100	137
ZOTU_430	19
ZOTU_69	216
ZOTU_28	385
ZOTU_608	38
ZOTU_650	13
ZOTU_43	273
ZOTU_173	65
ZOTU_233	47
ZOTU_60	246
ZOTU_297	28
ZOTU_312	28
ZOTU_96	151
ZOTU_378	27
ZOTU_45	226
ZOTU_280	43
ZOTU_156	87
ZOTU_66	183
ZOTU_667	22
ZOTU_79	189
ZOTU_166	73
ZOTU_143	82
ZOTU_109	119
ZOTU_50	284
ZOTU_356	27
ZOTU_73	231
ZOTU_17	645
ZOTU_51	288
ZOTU_158	109
ZOTU_168	98
ZOTU_53	241
ZOTU_114	102
ZOTU_589	14
ZOTU_209	46
ZOTU_131	68
ZOTU_599	13
ZOTU_90	62
ZOTU_119	156
ZOTU_23	529
ZOTU_310	39
ZOTU_92	209
ZOTU_610	21
ZOTU_597	11
ZOTU_262	50
ZOTU_283	31
ZOTU_472	15
ZOTU_653	16
ZOTU_511	15
ZOTU_218	56
ZOTU_123	79
ZOTU_630	16
ZOTU_444	39
ZOTU_588	13
ZOTU_403	25
ZOTU_324	39
ZOTU_85	152
ZOTU_394	26
ZOTU_621	14
ZOTU_206	49
ZOTU_59	251
ZOTU_374	26
ZOTU_112	130
ZOTU_111	124
ZOTU_89	134
ZOTU_191	67
ZOTU_392	20
ZOTU_361	28
ZOTU_47	259
ZOTU_520	14
ZOTU_178	63
ZOTU_145	78
ZOTU_141	82
ZOTU_682	9
ZOTU_222	4
ZOTU_57	232
ZOTU_291	33
ZOTU_598	15
ZOTU_267	37
ZOTU_383	16
ZOTU_612	8
ZOTU_317	45
ZOTU_565	30
ZOTU_72	53
ZOTU_533	32
ZOTU_558	14
ZOTU_424	23
ZOTU_427	12
ZOTU_48	269
ZOTU_80	161
ZOTU_38	316
ZOTU_183	63
ZOTU_453	35
ZOTU_542	11
ZOTU_458	27
ZOTU_276	37
ZOTU_523	22
ZOTU_367	30
ZOTU_382	41
ZOTU_343	28
