#OTU ID	A-1
ZOTU_213	11
ZOTU_570	15
ZOTU_501	22
ZOTU_660	13
ZOTU_642	14
ZOTU_555	33
ZOTU_615	12
ZOTU_587	21
ZOTU_656	22
ZOTU_457	36
ZOTU_401	23
ZOTU_610	21
ZOTU_674	10
ZOTU_263	37
ZOTU_333	23
ZOTU_661	13
ZOTU_666	12
ZOTU_445	21
ZOTU_465	26
ZOTU_376	29
ZOTU_589	23
ZOTU_359	27
ZOTU_532	32
ZOTU_556	15
ZOTU_449	25
ZOTU_650	19
ZOTU_254	40
ZOTU_67	4
ZOTU_425	21
ZOTU_649	15
ZOTU_399	19
ZOTU_667	22
ZOTU_456	18
ZOTU_611	14
ZOTU_613	10
ZOTU_499	16
ZOTU_362	31
ZOTU_634	12
ZOTU_679	11
ZOTU_665	8
ZOTU_528	15
ZOTU_530	15
ZOTU_636	5
ZOTU_630	21
ZOTU_648	14
ZOTU_78	2
ZOTU_568	17
ZOTU_603	9
ZOTU_627	16
ZOTU_242	1
ZOTU_632	15
ZOTU_518	8
ZOTU_580	15
ZOTU_319	1
ZOTU_600	1
ZOTU_245	3
ZOTU_653	12
ZOTU_523	19
ZOTU_479	10
ZOTU_543	15
ZOTU_504	16
ZOTU_264	6
ZOTU_583	1
ZOTU_520	10
ZOTU_490	2
ZOTU_251	13
ZOTU_673	4
ZOTU_30	3
ZOTU_475	21
ZOTU_515	14
ZOTU_340	1
ZOTU_6	1
ZOTU_485	16
ZOTU_678	19
ZOTU_366	5
ZOTU_36	4
ZOTU_495	3
ZOTU_385	3
ZOTU_151	5
ZOTU_421	1
ZOTU_461	1
ZOTU_261	3
ZOTU_27	1
ZOTU_387	1
ZOTU_303	1
