#OTU ID	A-1	A-2
ZOTU_266	40	36
ZOTU_267	49	37
ZOTU_268	45	29
ZOTU_269	33	22
ZOTU_270	0	0
ZOTU_271	56	64
ZOTU_272	0	0
ZOTU_273	52	26
ZOTU_274	33	28
ZOTU_275	36	32
ZOTU_276	38	37
ZOTU_277	0	0
ZOTU_278	0	0
ZOTU_279	47	36
ZOTU_280	30	43
ZOTU_281	0	0
ZOTU_282	0	0
ZOTU_283	33	31
ZOTU_284	0	0
ZOTU_285	48	20
ZOTU_286	0	0
ZOTU_287	45	46
ZOTU_288	0	0
ZOTU_289	38	45
ZOTU_290	70	54
ZOTU_291	40	33
ZOTU_292	41	35
ZOTU_293	51	53
ZOTU_294	26	29
ZOTU_295	44	34
ZOTU_296	56	40
ZOTU_297	36	28
ZOTU_298	0	0
ZOTU_299	35	40
ZOTU_300	0	0
ZOTU_301	44	33
ZOTU_302	4	2
ZOTU_303	1	0
ZOTU_304	0	0
ZOTU_305	29	32
ZOTU_306	53	32
ZOTU_307	27	30
ZOTU_308	38	26
ZOTU_309	0	0
ZOTU_310	38	39
ZOTU_311	0	0
ZOTU_312	33	28
ZOTU_313	39	32
ZOTU_314	0	0
ZOTU_315	34	25
ZOTU_316	0	0
ZOTU_317	33	45
ZOTU_318	0	0
ZOTU_319	1	0
ZOTU_320	0	0
ZOTU_321	47	30
ZOTU_322	34	17
ZOTU_323	30	35
ZOTU_324	20	39
ZOTU_325	30	21
ZOTU_326	37	29
ZOTU_327	32	28
ZOTU_328	0	0
ZOTU_329	0	0
ZOTU_330	0	0
ZOTU_331	43	39
ZOTU_332	0	0
ZOTU_333	23	28
ZOTU_334	0	0
ZOTU_335	35	20
ZOTU_336	34	50
ZOTU_337	29	22
ZOTU_338	56	16
ZOTU_339	0	0
ZOTU_340	1	0
ZOTU_341	0	0
ZOTU_342	0	0
ZOTU_343	24	28
ZOTU_344	0	0
ZOTU_345	0	0
ZOTU_346	0	0
ZOTU_347	33	29
ZOTU_348	34	43
ZOTU_349	0	0
ZOTU_350	41	33
ZOTU_351	0	0
ZOTU_352	0	0
ZOTU_353	22	23
ZOTU_354	0	0
ZOTU_355	0	0
ZOTU_356	51	27
ZOTU_357	36	24
ZOTU_358	40	44
ZOTU_359	27	22
ZOTU_360	0	0
ZOTU_361	27	28
ZOTU_362	31	28
ZOTU_363	0	0
ZOTU_364	0	0
ZOTU_365	27	38
ZOTU_366	5	6
ZOTU_367	19	30
ZOTU_368	0	0
ZOTU_369	28	30
ZOTU_370	26	16
ZOTU_371	46	28
ZOTU_372	0	0
ZOTU_373	0	0
ZOTU_374	28	26
ZOTU_375	35	30
ZOTU_376	29	40
ZOTU_377	0	0
ZOTU_378	30	27
ZOTU_379	36	40
ZOTU_380	37	38
ZOTU_381	19	27
ZOTU_382	49	41
ZOTU_383	37	16
ZOTU_384	0	1
ZOTU_385	3	0
ZOTU_386	0	0
ZOTU_387	1	1
ZOTU_388	0	0
ZOTU_389	30	21
