#OTU ID	A-1	A-2	B-1	B-2	C-1	C-2	taxonomy
ZOTU_129	0.0003635	0.0002874	5.318e-05	0	0.004845	0.004367	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Rhodobiaceae,g:Parvibaculum,s:Parvibaculum_lavamentivorans
ZOTU_130	0	0	0.005158	0.005188	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae,g:Alishewanella
ZOTU_131	0.003453	0.002792	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria
ZOTU_132	0.003417	0.003531	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
ZOTU_133	0	0	0.001808	0.001227	0.003594	0.002782	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Caulobacterales,f:Hyphomonadaceae,g:Hyphomonas
ZOTU_134	0.003817	0.003736	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,g:Reyranella
ZOTU_135	0.003417	0.004064	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
ZOTU_136	0.003562	0.003695	0	0	0	0	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales
ZOTU_137	0	0	0.004946	0.003459	5.209e-05	0	d:Bacteria,p:"Proteobacteria",c:Betaproteobacteria,o:Burkholderiales,f:Alcaligenaceae
ZOTU_138	0.003163	0.003531	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria
ZOTU_139	0.003599	0.004721	0	0	5.209e-05	5.983e-05	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Novosphingobium
ZOTU_140	0	0	0.005371	0.004184	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria
ZOTU_141	0.004217	0.003366	0	0	0	2.991e-05	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Phyllobacteriaceae
ZOTU_142	0.002217	0.003161	0	0	0	0	d:Bacteria,p:"Bacteroidetes",c:Sphingobacteriia,o:"Sphingobacteriales",f:Chitinophagaceae,g:Chitinophaga
ZOTU_143	0.002872	0.003366	5.318e-05	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium
ZOTU_144	0	0	0.004467	0.003682	0.0001042	8.974e-05	d:Bacteria,p:"Bacteroidetes",c:Flavobacteriia,o:"Flavobacteriales",f:Flavobacteriaceae,g:Muricauda
ZOTU_145	0.003672	0.003202	0	0	0	0	d:Bacteria,p:"Actinobacteria",c:Actinobacteria
ZOTU_146	0.003272	0.002381	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria
ZOTU_147	0.003417	0.003448	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria
ZOTU_148	0	0	5.318e-05	0.0001116	0.004949	0.004337	d:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Desulfuromonadales,f:Desulfuromonadaceae,g:Desulfuromonas,s:Desulfuromonas_palmitatis
ZOTU_149	0	0	0.0001064	5.578e-05	0.003959	0.004248	d:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Desulfobacterales,f:Desulfobulbaceae,g:Desulfobulbus,s:Desulfobulbus_rhabdoformis
ZOTU_150	0.004108	0.002792	0	0	0	0	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae
ZOTU_151	0.0001818	4.105e-05	0.001276	0.006025	5.209e-05	0.0001197	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Brevundimonas
ZOTU_152	0	0	0.004201	0.003682	0	5.983e-05	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae
ZOTU_153	0	4.105e-05	0.00585	0.002622	5.209e-05	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae
ZOTU_154	0	0	0.002021	0.007587	0.0001042	5.983e-05	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter
ZOTU_155	0	0	0.0001064	5.578e-05	0.004428	0.00362	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Alteromonadales,f:Shewanellaceae,g:Shewanella,s:Shewanella_dokdonensis
ZOTU_156	0.003526	0.003572	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales
ZOTU_157	0	0	0.002925	0.003514	0.0004688	0.0002393	d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiales_Incertae_Sedis_XIII,g:Anaerovorax
ZOTU_158	0.003272	0.004475	0	0	0	0	d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Lactococcus,s:Lactococcus_piscium
ZOTU_159	0	0	0	0	0.003803	0.003949	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Alteromonadales,f:Shewanellaceae,g:Shewanella
ZOTU_160	0	0	0.003669	0.003291	5.209e-05	5.983e-05	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Oceanospirillales,f:Oceanospirillaceae,g:Marinobacterium
ZOTU_161	0	0	0	0	0.004376	0.004846	d:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:"Porphyromonadaceae",g:Petrimonas,s:Petrimonas_sulfuriphila
ZOTU_162	0.002726	0.002792	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
ZOTU_163	0.002763	0.003407	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Phyllobacteriaceae
ZOTU_164	0.002872	0.003325	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
ZOTU_165	0	0	0.0008509	0.0009483	0.002969	0.002812	d:Bacteria,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis
ZOTU_166	0.002763	0.002997	0	0	0	0	d:Bacteria
ZOTU_167	0	0	0.0003723	0.0002789	0.003126	0.00329	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae
ZOTU_168	0.003562	0.004023	0	0	0	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Rhodanobacter
ZOTU_169	0	0	0	5.578e-05	0.002969	0.003201	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Roseomonas
ZOTU_170	0	0	0.003084	0.002678	0	2.991e-05	d:Bacteria,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis
ZOTU_171	0.004217	0.001847	0	0	0	0	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae
ZOTU_172	0.003235	0.002586	0	0	0	0	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales
ZOTU_173	0.003199	0.002668	0	0	0	0	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Mycobacteriaceae,g:Mycobacterium,s:Mycobacterium_phlei
ZOTU_174	0.002472	0.002709	0	0	0	0	d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Edaphobacter
ZOTU_175	0	0	0.003297	0.003012	0	8.974e-05	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas
ZOTU_176	0	0	0.003882	0.001897	0.0003126	0.0003889	d:Bacteria,p:"Tenericutes",c:Mollicutes,o:Acholeplasmatales,f:Acholeplasmataceae,g:Acholeplasma
ZOTU_177	0	0	0.002872	0.003849	5.209e-05	0	d:Bacteria,p:"Proteobacteria",c:Gammaproteobacteria,o:Oceanospirillales,f:Oceanospirillaceae,g:Marinobacterium
ZOTU_178	0.002327	0.002586	0	5.578e-05	0	0	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhodospirillales,g:Reyranella
ZOTU_179	0.0005816	0.0004926	0.002712	0.002287	0.0004168	0.0004188	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Rhizobiales
ZOTU_180	0.002908	0.002381	0	0	0	0	d:Bacteria,p:"Actinobacteria",c:Actinobacteria,o:Actinomycetales,f:Micromonosporaceae
ZOTU_181	0	0	0.003191	0.002176	0.001094	0.0009871	d:Bacteria,p:"Proteobacteria",c:Deltaproteobacteria,o:Desulfovibrionales,f:Desulfomicrobiaceae,g:Desulfomicrobium
ZOTU_182	0	0	0.005903	0.001339	0	5.983e-05	d:Bacteria,p:"Bacteroidetes",c:"Bacteroidia",o:"Bacteroidales",f:Bacteroidaceae,g:Bacteroides,s:Bacteroides_graminisolvens
ZOTU_183	0.002399	0.002586	0	0.0001116	0	2.991e-05	d:Bacteria,p:"Proteobacteria",c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas
ZOTU_184	0.003235	0.002874	0	0	0	0	d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp6,g:Gp6
