#Name	TPM
TRINITY_g150_i1_1	0.000000
TRINITY_g150_i1_2	0.000000
TRINITY_g151_i1_1	0.000000
TRINITY_g152_i1_1	0.000000
TRINITY_g153_i1_1	0.000000
TRINITY_g154_i1_1	0.000000
TRINITY_g154_i1_2	1.531037
TRINITY_g154_i1_3	2.671905
TRINITY_g155_i1_1	8.019266
TRINITY_g156_i1_1	0.000000
TRINITY_g156_i1_2	0.000000
TRINITY_g157_i1_1	0.000000
TRINITY_g158_i1_1	0.000000
TRINITY_g158_i1_2	0.000000
TRINITY_g159_i1_1	0.000000
TRINITY_g160_i1_1	0.000000
TRINITY_g161_i1_1	0.000000
TRINITY_g161_i1_2	0.000000
TRINITY_g161_i1_3	0.000000
TRINITY_g162_i1_1	0.000000
TRINITY_g163_i1_1	0.000000
TRINITY_g163_i1_2	0.000000
TRINITY_g163_i1_3	0.000000
TRINITY_g163_i1_4	0.000000
TRINITY_g164_i1_1	0.000000
TRINITY_g165_i1_1	0.000000
TRINITY_g166_i1_1	0.000000
TRINITY_g167_i1_1	0.000000
TRINITY_g168_i1_1	0.000000
TRINITY_g169_i1_1	0.000000
TRINITY_g170_i1_1	0.000000
TRINITY_g171_i1_1	0.000000
TRINITY_g172_i1_1	0.000000
TRINITY_g173_i1_1	0.000000
TRINITY_g173_i1_2	0.000000
TRINITY_g174_i1_1	0.000000
TRINITY_g174_i1_2	0.000000
TRINITY_g175_i1_1	0.000000
TRINITY_g175_i1_2	0.000000
TRINITY_g176_i1_1	0.000000
TRINITY_g177_i1_1	0.000000
TRINITY_g177_i1_2	0.000000
TRINITY_g178_i1_1	0.000000
TRINITY_g179_i1_1	9.346743
TRINITY_g180_i1_1	0.000000
TRINITY_g181_i1_1	11.653390
TRINITY_g182_i1_1	0.000000
TRINITY_g183_i1_1	0.000000
TRINITY_g183_i1_2	0.000000
TRINITY_g184_i1_1	3.909933
TRINITY_g184_i1_2	5.452379
TRINITY_g185_i1_1	0.000000
TRINITY_g185_i1_2	0.000000
TRINITY_g186_i1_1	0.000000
TRINITY_g187_i1_1	0.000000
TRINITY_g187_i1_2	0.000000
TRINITY_g188_i1_1	0.000000
TRINITY_g189_i1_1	0.000000
TRINITY_g190_i1_1	0.000000
TRINITY_g190_i1_2	0.000000
TRINITY_g191_i1_1	0.000000
TRINITY_g191_i1_2	0.000000
TRINITY_g192_i1_1	0.000000
TRINITY_g193_i1_1	0.000000
TRINITY_g194_i1_1	0.000000
TRINITY_g194_i1_2	0.000000
TRINITY_g195_i1_1	0.000000
TRINITY_g195_i1_2	0.000000
TRINITY_g196_i1_1	0.000000
TRINITY_g197_i1_1	0.000000
TRINITY_g198_i1_1	0.000000
TRINITY_g199_i1_1	0.000000
TRINITY_g200_i1_1	0.000000
TRINITY_g201_i1_1	0.000000
TRINITY_g202_i1_1	0.000000
TRINITY_g203_i1_1	0.000000
TRINITY_g204_i1_1	1.163894
TRINITY_g205_i1_1	0.000000
TRINITY_g206_i1_1	0.000000
TRINITY_g206_i1_2	0.000000
TRINITY_g207_i1_1	0.000000
TRINITY_g208_i1_1	0.000000
TRINITY_g209_i1_1	0.487454
TRINITY_g210_i1_1	11.085444
TRINITY_g211_i1_1	0.000000
TRINITY_g211_i1_2	0.000000
TRINITY_g212_i1_1	0.000000
TRINITY_g213_i1_1	2.962954
TRINITY_g214_i1_1	0.000000
TRINITY_g214_i1_2	0.000000
TRINITY_g215_i1_1	0.000000
TRINITY_g216_i1_1	0.000000
TRINITY_g216_i1_2	0.000000
TRINITY_g217_i1_1	0.000000
TRINITY_g218_i1_1	0.000000
TRINITY_g219_i1_1	0.000000
TRINITY_g220_i1_1	0.000000
TRINITY_g220_i1_2	0.000000
TRINITY_g221_i1_1	0.000000
TRINITY_g222_i1_1	0.519826
TRINITY_g223_i1_1	0.000000
TRINITY_g223_i1_2	0.886146
